longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink
CINAHL Ultimate,cul,189415868,What factors affect women's preferences for the mode of birth? A cross-sectional quantitative study based on the generalized resistance resources framework of salutogenesis.,"Background: With evolving reproductive policies and socioeconomic development in China, women's birth preferences and influencing factors have changed. Guided by the theory of salutogenesis, this study aimed to identify characteristics associated with different delivery preferences and to explore influencing factors, providing evidence to support the development of midwifery clinics. Methods: In this cross-sectional study, 462 mothers were recruited from the postnatal ward of a tertiary maternal and child health hospital between January and April 2025. The participants completed structured questionnaires on the basis of the generalized resistance resources framework of salutogenesis. Results: Binary logistic regression analysis revealed that key factors within the generalized resistance resources framework significantly influenced women's preferences for the mode of delivery. Physiological: Women with two (OR = 4.936, 95% CI: 1.788–13.629) or three or more prior pregnancies (OR = 7.316, 95% CI: 2.326–23.008) or a history of cesarean birth (OR = 6.923, 95% CI: 2.029–23.623) were more likely to prefer cesarean birth; those with a history of vaginal birth preferred vaginal birth (OR = 0.084, 95% CI: 0.030–0.237). Emotional: Emotional instability reduced the preference for cesarean section (OR = 0.737, 95% CI: 0.575–0.945). Interpersonal-relational: Spousal support for vaginal birth (OR = 0.059, 95% CI: 0.012–0.292) or a lack of explicit advice (OR = 0.207, 95% CI: 0.054–0.792) reduced cesarean preference. Conclusions: At the current stage, childbirth preferences among pregnant women are shifting. Personalized prenatal education combined with partner involvement serves as a key strategy for maternal health interventions, while focusing on individual psychological characteristics and social support structures can effectively enhance pregnant women's confidence in vaginal birth.",20251119,"Li, Yuting ; Yuan, Cairu ; Ran, Xuerong ; Zhou, Lili ; Zhai, Jinguo",Journal Article,Academic Journal,11/19/2025,true,BMC Pregnancy & Childbirth,"Childbirth Psychosocial Factors ; Women Psychosocial Factors ; Patient Preference ; Conceptual Framework ; Salutogenesis ; Support, Psychosocial ; Midwifery Service ; Human ; Funding Source ; China ; Female ; Mothers Psychosocial Factors ; Cross Sectional Studies ; Quantitative Studies ; Tertiary Health Care ; Structured Questionnaires ; Logistic Regression ; Odds Ratio ; Confidence Intervals ; Pregnancy ; Cesarean Section ; Vaginal Birth ; Emotional Lability ; Interpersonal Relations ; Descriptive Statistics ; Data Analysis Software ; Chi Square Test ; Mann-Whitney U Test ; Scales ; Female",JOUR,,,1471-2393,,,,,English,BioMed Central,13,1,13,25,1,10.1186/s12884-025-08246-z,,1CII,,https://research.ebsco.com/linkprocessor/plink?id=81660a86-d38f-3e0c-97ff-ee28dc711895
CINAHL Ultimate,cul,187613346,Impact of Delivery Method on Initiation and Continuation of Breastfeeding: A Prospective Cohort Study.,"Background/Objectives: Cesarean delivery often leads to delayed breastfeeding initiation, potentially affecting infant health compared with vaginal delivery. This prospective observational study (conducted between August 2022 and January 2024) comparatively evaluates the impact of delivery method—vaginal, planned cesarean, and emergency cesarean—on breastfeeding initiation and continuation and examines the maternal factors influencing these outcomes. Materials and Methods: We enrolled 338 mother–infant pairs at a tertiary university hospital. Breastfeeding effectiveness was assessed using the Bristol Breastfeeding Assessment Tool (BBAT) at birth and at one, three, and six months postpartum. Rates of breastfeeding continuation and formula supplementation were documented through structured interviews. Results: The mothers who delivered vaginally had a significantly higher rate of breastfeeding within one hour after birth (85.5%) compared with planned (57.9%) and emergency cesarean sections (64.9%) (p < 0.001). Baseline BBAT scores were higher for vaginal births but converged across the groups by one month postpartum (p > 0.05). At six months, breastfeeding continuation rates remained high (94.4–95.2%) irrespective of delivery method. Conclusions: Delivery method exerts a transient effect on breastfeeding initiation. With lactation support, the mothers delivering by cesarean section achieved comparable breastfeeding outcomes within the first month postpartum. These findings reinforce the importance of Baby-Friendly Hospital Initiative (BFHI) practices, including immediate skin-to-skin contact, effective pain management, and lactation counseling, in ensuring equitable breastfeeding outcomes.",20250801,"Özer Aslan, İlke ; Aslan, Mustafa Törehan ; Can, Nebibe ; Sevinç Ergül, Özlem ; Çallıoğlu, Nihal",Journal Article,Academic Journal,Aug2025,true,Children,"Delivery, Obstetric Methods ; Breast Feeding ; Kangaroo Care ; Educational Status ; Human ; Academic Medical Centers ; Tertiary Health Care ; Prospective Studies ; Nonexperimental Studies ; Vaginal Birth ; Cesarean Section, Elective ; Cesarean Section ; Obstetric Emergencies",JOUR,,,2227-9067,,,,,English,MDPI,,966,,12,8,10.3390/children12080966,,LW6K,,https://research.ebsco.com/linkprocessor/plink?id=adc2a9e3-bb7b-3911-bbd9-9c88c09bada3
CINAHL Ultimate,cul,189209529,A five-year retrospective evaluation of perinatal outcomes in Syrian refugee and Turkish citizen pregnant women and their newborns at a tertiary hospital.,"Background: This study aimed to evaluate and compare perinatal outcomes, neonatal intensive care unit (NICU) admission rates, and neonatal immunization rates between Syrian immigrant and Turkish citizen pregnant women. Methods: A retrospective cohort analysis was conducted using hospital records of Syrian and Turkish citizen pregnant women who received care at a tertiary referral center between June 2020 and June 2025. Demographic characteristics, perinatal outcomes, and neonatal vaccination rates were collected and analyzed. Results: A total of 10,560 pregnant women were included in the study. The participants were divided into two groups based on nationality: 10,407 were of Turkish origin and 158 were of Syrian origin. The mean age of all participants was 31.48 ± 5.54 years. The mean gestational age at delivery was 38 weeks, and the average birth weight was 3191.92 ± 591.11 g. The mean age of Turkish pregnant women was 31.48 ± 5.52 years, while the mean age of Syrian pregnant women was 31.67 ± 6.47 years. The mean gestational age at delivery was 38 weeks for Turkish women and 39 weeks for Syrian women. The mean birth weight of newborns born to Turkish women was 3190 ± 591.25 g, whereas the mean birth weight of newborns born to Syrian women was 3267 ± 581.64 g. The mean duration of hospital stay post-delivery was 40.16 ± 10.77 h. The incidence of multiple pregnancies was 1.4%. Cesarean section was the most common mode of delivery, with a rate of 67%. The mean length of hospital stay for Turkish pregnant women was 40.19 ± 10.76 h, whereas it was 37.92 ± 11.39 h for Syrian pregnant women. The rate of multiple pregnancies was 1.5% among Turkish women and 1.3% among Syrian women. The overall cesarean section rate was 67.2% in Turkish women and 56.3% in Syrian women. Among newborns born to Turkish mothers, the rate of hepatitis B vaccination was 86.3%, and the rate of vitamin K administration was 89.3%. In newborns born to Syrian mothers, the hepatitis B vaccination rate was 82.9%, and the rate of vitamin K administration was 88%. Hepatitis B vaccine was administered to 86% of all newborns, and vitamin K injection was given to 89% of them. Secondary-level NICU admission was observed more often among neonates of Syrian immigrant mothers (38.6%) compared to Turkish citizens (32.8%). Conclusions: Perinatal outcomes were comparable between Syrian immigrant and Turkish citizen pregnant women. Although neonates born to immigrant mothers did not require advanced intensive care more frequently, the need for secondary-level NICU admission was higher.",20251107,"Taşkıran, Deniz ; Ay, Orhan",Journal Article,Academic Journal,11/7/2025,true,BMC Pregnancy & Childbirth,"Pregnancy Outcomes Evaluation ; Refugees Psychosocial Factors ; Citizenship Turkey ; Expectant Mothers Psychosocial Factors ; Infant, Newborn ; Intensive Care Units, Neonatal ; Patient Admission Evaluation ; Immunization Evaluation ; Human ; Syria ; Turkey ; Pregnancy ; Female ; Retrospective Design ; Tertiary Health Care ; Adult ; Prospective Studies ; Medical Records ; Cesarean Section ; Descriptive Statistics ; Data Analysis Software ; T-Tests ; Mann-Whitney U Test ; One-Way Analysis of Variance ; Gestational Age ; Birth Weight ; Vaginal Birth ; Fetal Distress ; Vitamin K Administration and Dosage ; Hepatitis B Vaccines ; Perinatal Death ; Child ; Infant, Newborn:  birth-1 month ; Adult: 19-44 years ; Child: 6-12 years ; Female",JOUR,,,1471-2393,,,,,English,BioMed Central,8,1,8,25,1,10.1186/s12884-025-08355-9,,1CII,,https://research.ebsco.com/linkprocessor/plink?id=ebcbe878-04d1-3547-9eb8-4ad50dd0bcd3
CINAHL Ultimate,cul,186423926,"The Relationship of Delivery Mode and Antenatal Fear of Childbirth with Postpartum Depression, Post Traumatic Stress Disorder and Postpartum Fear of Childbirth in Nulliparous Women: A Prospective Longitudinal Study.","Background & aim: Diagnosis and treatment of fear of childbirth can influence both delivery mode and postpartum psychological symptoms. Therefore, the objective of this study was to evaluate postpartum depression, Post Traumatic Stress Disorder (PTSD), and fear of childbirth in nulliparous women based on their delivery mode and antenatal fear of childbirth. Methods: For this prospective longitudinal study, 148 Iranian nulliparous women were selected using a convenient sampling method from January to September 2021 in the Mashhad, Iran. The Wijma Delivery Expectancy and Experience Questionnaire (W-DEQ) (A and B versions), the Beck Depression Inventory, and the Perinatal PTSD Questionnaire were administered to collect data. Fear of childbirth was assessed in the last month of pregnancy, followed by evaluation of delivery mode, postpartum depression, PTSD, and fear of childbirth 4-6 weeks after delivery. The data were analyzed using analysis of variance (ANOVA) and multivariate analysis of variance (MANOVA), with SPSS version 26. Results: The women in the emergency cesarean group exhibited higher levels of depression and PTSD symptoms compared to those in the vaginal delivery (P < 0.0001) and elective cesarean groups (p = 0.003) Postpartum fear of childbirth was more prevalent among women with clinical antenatal fear of childbirth and vaginal delivery than in other women ( F(4, 139) = 2.86, P = 0.02 ) . Conclusion: The diagnosis and treatment of clinical antenatal fear of childbirth is essential to prevent the worsening of postpartum fear of childbirth. A follow-up program for women with emergency cesarean can help to identify individuals at risk for postpartum depression, PTSD and fear of childbirth.",20250701,"Ghazaei, Maryam ; Chaman Sabz, Masoomeh Gharooni",Journal Article,Academic Journal,Jul2025,true,Journal of Midwifery & Reproductive Health,"Cesarean Section, Elective Psychosocial Factors ; Emergency Care ; Cesarean Section Psychosocial Factors ; Vaginal Birth Psychosocial Factors ; Prenatal Care ; Fear Evaluation ; Postnatal Period ; Childbirth Psychosocial Factors ; Depression, Postpartum Risk Factors ; Stress Disorders, Post-Traumatic Risk Factors ; Nulliparas Psychosocial Factors ; Risk Assessment ; Human ; Female ; Prospective Studies ; Iran ; Convenience Sample ; Questionnaires ; Psychological Tests ; Expectant Mothers Psychosocial Factors ; Mothers Psychosocial Factors ; One-Way Analysis of Variance ; Multivariate Analysis of Variance ; Descriptive Statistics ; Comparative Studies ; Hospitals ; Prevalence ; Summated Rating Scaling ; Self Report ; Data Analysis Software ; Adult ; Post Hoc Analysis ; Correlational Studies ; Adult: 19-44 years ; Female",JOUR,,,2345-4792,,,,,English,Mashhad University of Medical Science,4962,4950,13,13,3,10.22038/JMRH.2024.70723.2082,,HCMN,,https://research.ebsco.com/linkprocessor/plink?id=259391b6-6d53-36c6-8bde-13e095bf824b
CINAHL Ultimate,cul,189106632,"Drawbacks of antibiotic regimen following cesarean deliveries on beneficial bacteria in colostrum, a prospective observational study.","Background: The dramatic increase in Cesarean Section (CS) deliveries raises significant concerns due to risks such as unnecessary surgery, elevated healthcare costs, antibiotic overuse, and disruption of maternal breast milk microflora, which impacts infant gut microbiota. Objective and methods: This study evaluates optimal antibiotic regimens for CS to preserve Lactobacilli and Bifidobacteria while ensuring aseptic wound conditions, thereby addressing antibiotic misuse and resistance. A cohort of 116 mothers received prophylactic antibiotics (third-generation Cephalosporins, Penicillin/β-lactam, or Linezolid) administered preoperatively and continued orally for 1, 3, or 5 days. Inclusion criteria comprised women with BMI 18–29 kg/m² undergoing elective CS for obstetric indications (malpresentation, placenta previa, recurrent CS). Colostrum samples were microbiologically analyzed using nutrient agar, De Man, Rogosa and Sharpe (MRS) agar, and Bile salt L-cysteine MRS (BL-MRS) agar to quantify total bacteria, Lactobacilli, and Bifidobacteria. Results: Cephalosporins caused the most substantial microbial reduction: 60.18% by day 5 and 59.2% by day 3. Linezolid for 5 days followed (48.7% reduction), while Penicillin/β-lactam for 3 and 5 days resulted in 33.93% and 36.9% reductions, respectively. Cephalosporins and Linezolid significantly reduced Bifidobacteria on days 3 and 5 (P < 0.05). Linezolid exhibited the most potent inhibition against Lactobacilli. Conclusion: No significant differences in wound healing outcomes were observed among antibiotic regimens (P = 0.916). Preoperative prophylaxis with Penicillin/β-lactam is recommended, as it minimally disrupts Lactobacilli and Bifidobacteria while maintaining aseptic conditions, offering a balanced approach to microbial preservation and infection prevention.",20251106,"Mousa, Ahmed Bakr ; Abdel-Rasheed, Mazen ; Moawad, Raghda M.S.",Journal Article,Academic Journal,11/6/2025,true,BMC Nutrition,"Antibiotics Administration and Dosage ; Cesarean Section ; Colostrum ; Lactobacillus ; Gram-Positive Bacteria ; Antibiotics Adverse Effects ; Human ; Prospective Studies ; Nonexperimental Studies ; Drug Resistance, Microbial ; Cephalosporins ; Penicillins ; Linezolid ; Academic Medical Centers ; Young Adult ; Adult ; Middle Age ; One-Way Analysis of Variance ; Post Hoc Analysis ; Adult: 19-44 years ; Middle Aged: 45-64 years",JOUR,,,2055-0928,,,,,English,BioMed Central,10,1,10,11,1,10.1186/s40795-025-01143-w,,JDG3,,https://research.ebsco.com/linkprocessor/plink?id=2afeadbb-1aab-3ce4-a1ab-32c41bccdbca
CINAHL Ultimate,cul,189359377,Association between lumbopelvic pain in pregnancy and fear of childbirth: a multicenter cross-sectional case-control study.,"Background: Fear of childbirth is a common occurrence during pregnancy, causing unnecessary caesarean sections due to anxiety and pain catastrophizing. Lumbopelvic pain is also very prevalent during pregnancy and similarly linked to anxiety and pain catastrophizing. Although these two issues appear to have commonalities, their relationship has not been explored yet. This study aims to investigate the potential correlation between fear of childbirth and lumbopelvic pain during pregnancy, addressing a gap in the current literature. Methods: Online surveys were emailed to pregnant women with lumbopelvic pain (n = 216) and without it (n = 207). We extracted our primary outcome, fear of childbirth, along with secondary variables including anxiety, depression, kinesiophobia, and catastrophizing. Results: Pregnant women with lumbopelvic pain had significantly higher fear of childbirth compared to those without lumbopelvic pain (p = 0.002). Moreover, fear of childbirth showed a significant positive correlation with anxiety, depression, kinesiophobia, and catastrophizing (p < 0.05). Conclusion: Pregnant women with lumbopelvic pain experience higher levels of fear of childbirth compared to those without lumbopelvic pain. Trial registration: The study was registered on ClinicalTrials.gov under the identification number NCT05976854 on 10/08/2023.",20251117,"García-Lucas, Celia ; Chen, Esme ; Serrano-Raya, Lola ; Boldó-Roda, Ana ; Arguisuelas, María Dolores ; Suso-Martí, Luis ; Pardo, Juan ; Amer-Cuenca, Juan José ; Lisón, Juan Francisco ; Biviá-Roig, Gemma",Journal Article,Academic Journal,11/17/2025,true,BMC Pregnancy & Childbirth,Low Back Pain In Pregnancy ; Pelvic Pain In Pregnancy ; Childbirth Psychosocial Factors ; Women Psychosocial Factors ; Fear Evaluation ; Mental Status ; Pregnancy Complications ; Human ; Funding Source ; Female ; Pregnancy ; Multicenter Studies ; Case Control Studies ; Academic Medical Centers ; Obstetrics ; Gynecology ; Surveys ; Coefficient alpha ; Test-Retest Reliability ; Summated Rating Scaling ; Chi Square Test ; Mann-Whitney U Test ; Descriptive Statistics ; T-Tests ; Post Hoc Analysis ; Spearman's Rank Correlation Coefficient ; Data Analysis Software ; Comparative Studies ; Confidence Intervals ; Kinesiophobia ; Catastrophization ; Anxiety ; Depression ; Multiple Regression ; Questionnaires ; Scales ; Female,JOUR,,,1471-2393,,,,,English,BioMed Central,10,1,10,25,1,10.1186/s12884-025-08425-y,,1CII,,https://research.ebsco.com/linkprocessor/plink?id=56dab6e8-7d1a-3e8a-85a9-3e27c9ee0561
CINAHL Ultimate,cul,189209536,"Predictors of post-partum depression amongst postnatal women in Kumasi, Ghana.","Background: One out of four persons may develop mental disorders during their lives. Women and the poor are particularly vulnerable. Research has shown that the prevalence of postpartum depression among women is between 5% and 26% with prevalence even higher in developing countries. However, studies on this condition in Ghana are few in literature. This current study assessed the prevalence and predictors of postpartum depression among postnatal women in Kumasi, Ghana. Methods: A descriptive cross-sectional study design utilizing a quantitative approach was used to conduct the study at the postnatal clinics of three selected hospitals in the Kumasi city. A multistage sampling procedure was used to select 250 postnatal women for the study. Data were gathered from the respondents through a validated Edinburg Postnatal Depression Scale. Data were analysed with SPSS version 25.0 and statistical significance was established at P ≤ 0.05. Results: Generally, 74.5%, 64% and 75% of the respondents had good knowledge about the risk factors; signs and symptoms; and consequences of postpartum depression respectively. The overall prevalence of postpartum depression in the selected hospitals was 14%. Regarding specific depressive symptoms, 14% of the respondents could never laugh and see the funny side of things. Maternal age (P = 0.002), postpartum blues (P = 0.000) and mode of delivery (P = 0.001) were significantly associated with PPD. Conclusion: Postnatal women in Kumasi had good level of knowledge about PPD. However, gaps in knowledge were found with respect to specific signs and symptoms of PPD such as crying spells, overwhelming fatigue and insomnia. Predictors such as maternal age, partners' support, perceived partners' violence/abuse, and postpartum blues influenced the prevalence of PPD among the women. Healthcare providers should encourage family members and partners to provide the requisite support to mothers before, during and after childbirth.",20251110,"Emikpe, Abigael Omowumi ; Obeng, Hannah ; Bonsu, Zipporah Manu ; Tsiko, Elizabeth Abena ; Owusu, Lydia Boampong ; Dwumfour, Catherine Kroamah ; Issifu, Joseph Shahadu ; Dzomeku, Veronica Millicent",Journal Article,Academic Journal,11/10/2025,true,BMC Pregnancy & Childbirth,"Women's Health ; Depression, Postpartum Epidemiology ; Depression, Postpartum Risk Factors ; Risk Assessment ; Health Knowledge Evaluation ; Urban Areas Ghana ; Ghana ; Human ; Female ; Hospitals, Urban ; Descriptive Research ; Cross Sectional Studies ; Edinburgh Postnatal Depression Scale ; Psychological Tests ; Data Analysis Software ; Descriptive Statistics ; Maternal Age ; Age Factors ; Delivery, Obstetric ; Depression, Postpartum Symptoms ; Fatigue ; Insomnia ; Confidence Intervals ; Structured Questionnaires ; Open-Ended Questionnaires ; Chi Square Test ; Adolescence ; Adult ; Middle Age ; Intimate Partner Violence ; Support, Psychosocial ; Adolescent: 13-18 years ; Adult: 19-44 years ; Middle Aged: 45-64 years ; Female",JOUR,,,1471-2393,,,,,English,BioMed Central,11,1,11,25,1,10.1186/s12884-025-08350-0,,1CII,,https://research.ebsco.com/linkprocessor/plink?id=f06191df-d334-30cb-86cf-5b54769c30c6
CINAHL Ultimate,cul,189325603,Obstetric quality of recovery: A weak surrogate measure of psychological distress and psychological wellness for cesarean delivery parturients—A prospective observational study.,"The obstetric quality of recovery score (ObsQoR-11) is a widely used self-report assessment in obstetric settings following cesarean deliveries (CD). However, this measure may not assess psychological variables as originally intended, which may inform quality care. The primary aim of this study was to explore the relationship between ObsQoR-11 and validated scales that measure peritraumatic distress and psychological wellness. 220 Canadian patients who underwent scheduled or unscheduled CD (mean age = 35.00 years, SD = 4.18) completed self-report surveys assessing: obstetric quality of recovery, peritraumatic distress, and psychological wellness. ObsQoR-11 exhibited significant but weak correlations with peritraumatic distress and psychological wellness. Peritraumatic distress and psychological wellness are independent constructs that should be measured separately in clinical practice outside of routine assessments using ObsQoR-11. As there was low convergent construct validity with these two measures, these psychological assessments may assist in providing additional assessments of holistic outcomes following cesarean delivery.",20251101,"Saulnier, Luc ; Chau, Anthony ; Crowell, Philip ; Bright, Susan ; Massey, Simon",Journal Article,Academic Journal,Nov2025,true,Journal of Health Psychology,Instrument Validation ; Psychometrics Evaluation ; Questionnaires ; Scales ; Criterion-Related Validity ; Psychological Distress ; Psychological Well-Being ; Cesarean Section Psychosocial Factors ; Expectant Mothers Psychosocial Factors ; Maternal Attitudes ; Recovery ; Human ; Canada ; Female ; Adult ; Prospective Studies ; Nonexperimental Studies ; Descriptive Statistics ; Surveys ; Confidence Intervals ; Nonparametric Statistics ; Spearman's Rank Correlation Coefficient ; Post Hoc Analysis ; Multivariate Statistics ; Construct Validity ; Holistic Care ; Adult: 19-44 years ; Female,JOUR,,,1359-1053,"Thousand Oaks, California",,,,English,Sage Publications Inc.,3960,3946,15,30,13,10.1177/13591053251328993,,3FA,,https://research.ebsco.com/linkprocessor/plink?id=0373792d-c02b-3830-a00f-d993ddd38a6c
CINAHL Ultimate,cul,189606402,Intraoperative Platelet-Rich Plasma Application Improves Scar Healing After Cesarean Section: A Prospective Observational Pilot Study.,,20251115,"Brezeanu, Ana-Maria ; Brezeanu, Dragoș ; Stase, Simona ; Chirila, Sergiu ; Tica, Vlad-Iustin",Journal Article,Academic Journal,Nov2025,true,Healthcare (2227-9032),Cesarean Section ; Postoperative Complications Drug Therapy ; Cicatrix Drug Therapy ; Wound Healing ; Platelet-Rich Plasma ; Intraoperative Period ; Treatment Outcomes Evaluation ; Human ; Adolescence ; Adult ; Female ; Prospective Studies ; Nonexperimental Studies ; Pilot Studies ; Scales Evaluation ; Visual Analog Scaling ; Hematologic Tests ; Wilcoxon Signed Rank Test ; Pearson's Correlation Coefficient ; Descriptive Statistics ; Recovery ; Exploratory Research ; Leukocyte Count ; Platelet Count ; Data Analysis Software ; Adolescent: 13-18 years ; Adult: 19-44 years ; Female,JOUR,,,2227-9032,,,,,English,MDPI,,2905,,13,22,10.3390/healthcare13222905,,HE1D,,https://research.ebsco.com/linkprocessor/plink?id=29e994ed-ebce-3900-ad52-39c5fcb40943
CINAHL Ultimate,cul,190517791,Birth Satisfaction and Breastfeeding Attitudes Among Mothers Aged 35 and Older.,"Background/Objectives: Delayed motherhood is becoming increasingly common, yet limited evidence exists on birth satisfaction and breastfeeding attitudes among women aged ≥35. In this study, the hypothesis was tested whether higher birth satisfaction and stronger social support are associated with more positive breastfeeding attitudes and if previous childbirth experience moderates these relationships. Methods: A cross-sectional online survey was conducted among 148 Polish women up to 12 months postpartum. Participants were recruited via social media and parenting-related online communities; the survey was disseminated across multiple online channels to enhance representativeness and reduce potential sampling bias. Eligibility included age ≥35 at childbirth and informed consent. The sample size was considered adequate based on recommendations for regression models with the number of included predictors. Validated tools were used (MSPSS, IIFAS-Pol, BSS-R PL). Assumptions for Pearson's correlation coefficients and linear regression (normality, homoscedasticity, absence of multicollinearity) were checked prior to analyses. The analysis was performed using IBM SPSS Statistics 29 (IBM Corp., Armonk, New York, NY, USA). Results: Women aged ≥35 reported high birth satisfaction and generally positive breastfeeding attitudes. Among multiparous women, birth satisfaction was moderately positively associated with breastfeeding attitudes (BSS-R PL; r = 0.396, p < 0.01), and perceived social support showed a small but significant association (MSPSS; r = 0.249, p < 0.05). Hierarchical regression analyses indicated that, in women over 35 with a subsequent child, psychosocial variables significantly predicted breastfeeding attitudes, whereas the control model—including education, socioeconomic status, and delivery mode—was not significant. Adding birth satisfaction and perceived social support improved model fit (R<sup>2</sup> = 0.194), with birth satisfaction emerging as the only significant predictor (β = 0.31). The corresponding effect size (f<sup>2</sup> = 0.143) indicated a near-medium effect. In contrast, neither the control nor the extended model was significant among primiparous women, suggesting no meaningful associations in this group. Conclusions: Higher birth satisfaction and perceived social support may promote more favorable breastfeeding attitudes in women becoming mothers at ≥35, with stronger effects among multiparous mothers. These findings highlight the need for individualized prenatal education, enhanced psychosocial support, partner involvement and efforts to improve childbirth experiences. Interventions tailored to women entering motherhood at an advanced maternal age are warranted.",20251201,"Sobala, Amelia Julia ; Szablewska, Anna Weronika",Journal Article,Academic Journal,Dec2025,true,Nutrients,"Mothers Psychosocial Factors ; Childbirth Psychosocial Factors ; Attitude to Breast Feeding ; Maternal Attitudes Evaluation ; Personal Satisfaction ; Support, Psychosocial ; Human ; Female ; Adult ; Middle Age ; Cross Sectional Studies ; Perinatal Care ; Descriptive Statistics ; Pearson's Correlation Coefficient ; Linear Regression ; Data Analysis Software ; Motherhood ; Chi Square Test ; Funding Source ; Questionnaires ; Scales ; Adult: 19-44 years ; Middle Aged: 45-64 years ; Female",JOUR,,,2072-6643,,,,,English,MDPI,,3796,,17,23,10.3390/nu17233796,,B0TT,,https://research.ebsco.com/linkprocessor/plink?id=52ad0d2f-5749-3f7e-959f-70e29a814c01
