dedup_index,title,year,authors,abstract,doi,pmid,journal,pubtype,publication types,language,first_author_surname,source
cantheprogressionanglebeforelaborhelptopredictcesareansection2020alzola,can the progression angle before labor help to predict cesarean section?,2020.0,"Alzola, Irune;Murua, Emerson;Rodriguez, Javier;Burgos, Jorge;Maiz, Nerea","Objective: The aim of this study was to predict cesarean section on a single visit at term using a combination of maternal history and ultrasound markers, including some new markers such as the progression angle used to assess intrapartum progress.Study Design: This was an observational prospective cohort study of singleton term pregnancies that included 575 women. The maternal history and ultrasound markers were obtained on a single visit at 37-38 weeks' gestation. Multivariable logistic regression was used for prediction of cesarean section.Results: Five hundred and seventy-five women were examined at a median gestational age of 38.3 weeks (range: 35.6-41.6) and a cesarean section was performed on 104 women (18%) - 24 for a fetal indication and 80 for a maternal indication. The risk of cesarean section increased with a previous cesarean section, assisted reproduction techniques, a higher estimated fetal weight, and a greater cervical length, and decreased with a greater maternal height, multiparity, and a wider progression angle. The detection rate for a 20% false positive rate was 69.9% for all cesarean sections, 54.2% for those with a fetal indication, and 77.2% for those with a maternal indication.Conclusions: Assessment at 37-38 weeks' gestation of ultrasound markers such as the cervical length, progression angle, and estimated fetal weight, in combination with the maternal history, can predict a cesarean section in labor. Cesarean section for a maternal indication is better predicted than cesarean section for a fetal indication.",10.1159/000503387,31645041.0,Fetal Diagnosis & Therapy,Academic Journal,research;Journal Article;,English,Alzola,cinahl
theobstetricalcareanddeliveryexperienceofwomenwithepilepsyinthemoneadstudy2024mcelrath,the obstetrical care and delivery experience of women with epilepsy in the monead study,2024.0,"McElrath, Thomas, F.;Druzin, Maurice;Van Marter, Linda, J.;May, Ryan, C.;Brown, Carrie;Stek, Alice;Grobman, William;Dolan, Mary;Chang, Patricia;Flood-Schaffer, Kellie;Parker, Lamar;Meador, Kimford, J.;Pennell, Page, B.","Objective We examined mode of delivery among pregnant women with epilepsy (PWWE) versus pregnant controls (PC). We hypothesize that PWWE are more likely to deliver by cesarean. Study Design The Maternal Outcomes and Neurodevelopmental Effects of Antiepileptic Drugs (MONEAD) study is an observational, prospective, multicenter investigation of pregnancy outcomes funded by the National Institute of Health (NIH). MONEAD enrolled patients from December 2012 through January 2016. PWWE were matched to PC in a case:control ratio of 3:1. This analysis had 80% power to detect a 36% increase in cesarean frequency assuming a baseline rate of 30% among PC at an a = 0.05. Results This report analyzed 331 PWWE (76%) and 102 PC (24%) who gave birth while enrolled in the study. PWWE and PC had similar rates of cesarean delivery (34.7 vs. 28.6%; p = 0.27). Of women with cesarean, rates of cesarean without labor were similar between groups for those delivering in recruitment hospitals (48.2 vs. 50.0%) but in nonrecruitment hospitals, cesarean rates without labor were over two-fold higher among PWWE than those of PC (68.8 vs. 30.8%; p = 0.023). Receipt of a cesarean after labor did not differ for PWWE compared to PC or by type of antiepileptic drug among the PWWE. Conclusion These findings suggest that the obstetrical experiences of PWWE and PC are similar. An interesting deviation from this observation was the mode of delivery with higher unlabored cesarean rates occurring among PWWE in nonrecruitment hospitals. As the study recruitment hospitals were tertiary academic centers and nonrecruitment hospitals tended to be community-based institutions, differences in perinatal expertise might contribute to this difference. Key Points Unlabored cesarean rates higher among women with epilepsy. Provider preference may influence delivery mode among women with epilepsy. Type and amount of antiepileptic drug was not associated with mode of delivery.",10.1055/a-1788-4791,,American Journal of Perinatology,Academic Journal,research;tables/charts;Journal Article;,English,McElrath,cinahl
associationbetweengestationalcardiovascularhealthinthefirsttrimesterandpregnancyoutcomesinthechinabirthcohort2024gao,association between gestational cardiovascular health in the first trimester and pregnancy outcomes in the china birth cohort,2024.0,"Gao, S.;Su, S.;Zhang, E.;Liu, J.;Xie, S.;Zhang, Y.;Cui, Y.;Wang, X.;Huang, K.;Hu, M.;Yue, W.;Liu, R.;Yin, C.","To determine whether gestational cardiovascular health (CVH) during the first trimester is associated with a risk of adverse pregnancy outcomes. A multicentre prospective cohort; part of the China birth cohort study. Pregnant women were recruited at 6-13+6 gestation weeks and followed to delivery to identify pregnancy outcomes. Gestational CVH in the first trimester was assessed using five CVH metrics: body mass index, smoking, blood pressure, glucose, and lipids. Multilevel modified Poisson regression models calculated the relative risks (RRs) and 95% confidence intervals (95% CIs) of gestational CVH for adverse pregnancy outcomes. Among 56,852 pregnant women, the mean score for gestational CVH during the first trimester was 9.1. Adjusting for confounding factors, each 1-point decrease in the total gestational CVH score significantly increased the risk of hypertensive disorders of pregnancy (RR = 1.682, 95% CI: 1.624-1.743), gestational diabetes mellitus (RR = 1.405, 95% CI: 1.384-1.426), preterm birth (RR = 1.184, 95% CI: 1.174-1.195), large for gestational age (RR = 1.224, 95% CI: 1.199-1.250), caesarean delivery (RR = 1.073, 95% CI: 1.049-1.097), and low Apgar score (RR = 1.131, 95% CI: 1.003-1.277) significantly increased. Meanwhile, the risk of small for gestational age decreased (SGA; RR = 0.922, 95% CI: 0.898-0.946). Worsened CVH categories significantly increased the risk of adverse pregnancy outcomes, excluding SGA. Poor gestational CVH in the first trimester significantly increases the risk of adverse pregnancy outcomes, emphasising the need for early improvement in gestational CVH.",10.1016/j.puhe.2024.04.028,,Public Health (Elsevier),Academic Journal,research;Journal Article;,English,Gao,cinahl
nurturinginfantstopreventatopicdermatitisandfoodallergiesalongitudinalstudy2024vassilopoulou,nurturing infants to prevent atopic dermatitis and food allergies: a longitudinal study,2024.0,"Vassilopoulou, Emilia;Rallis, Dimitrios;Milani, Gregorio, Paolo;Agostoni, Carlo;Feketea, Gavriela;Lithoxopoulou, Maria;Stefanaki, Evangelia;Ladomenou, Fani;Douladiris, Nikolaos;Cronin, Caoimhe;Popescu, Codruta, Alina;Pop, Raluca, Maria;Bocsan, Ioana, Corina;Tsabouri, Sophia","Background: Atopic dermatitis (AD) at a young age often precedes the development of food allergies. Although AD affects millions of infants worldwide, prenatal and postnatal risk factors, and their association with the development of food allergies later on, are not fully elucidated. This study seeks to investigate AD epidemiology in infancy and its risk factors, examining early-life factors (both prenatal and postnatal) that could contribute to the later development of food allergies. Methods: Between January 2019 and December 2019, 501 infants were included in this prospective cohort study. Longitudinal data collection was performed through maternal interviews, the first one conducted within three days after the delivery and the second within 24 to 36 months after the delivery, encompassing variables such as demographics, family history of atopy, maternal smoking, antibiotic use during pregnancy, the mode of delivery, breastfeeding history, food practices, and greenness exposure within 3 days from delivery, while they were still in the hospital. Results: Maternal smoking during pregnancy (p = 0.001) and an older sibling atopy history (p = 0.03) was significantly linked to AD incidence. Cesarean section delivery (p = 0.04) was associated with a higher risk of food allergies in infants with AD. Having a garden at home correlated with a higher likelihood of AD (p = 0.01), and food elimination without medical guidance (p = 0.02) due to AD correlated with an elevated risk of food allergies. Conclusions: Encouraging timely allergenic food introduction while promoting dietary diversity, rich in plant-based foods, maternal smoking cessation, and professional dietary guidance may help minimize AD and food allergy risk. Future studies should address the role of greenness in the development of AD and food allergies.",10.3390/nu16010021,,Nutrients,Academic Journal,research;tables/charts;Journal Article;,English,Vassilopoulou,cinahl
adverseperinataloutcomesassociatedwithincreasingmaternalobesity2024addicott,adverse perinatal outcomes associated with increasing maternal obesity,2024.0,"Addicott, Katherine;Nudelman, Matthew;Putty, Krista;Prasher, Priya;Preston, Deborah;Yoost, Jennie, L;DeFruscio, Annie;Bartlett, David;Cavender, Catherine;Carter, Meagen;Datz, Hannah;Rodriquez, Kayla;Werthammer, Joseph","Objective The aim of this study was to determine adverse perinatal outcomes related to maternal preconception body mass index (BMI). Study Design This is a retrospective observational cohort study at a single institution of 500 consecutive mothers of normal weight with a preconception BMI of 18.5 to less than 25 and 500 additional obese mothers with a preconception BMI more than or equal to 30. Maternal/newborn metrics were stratified by maternal preconception BMI and trend analysis was performed both by simple univariable and multivariable logistic regression analysis. Results The study included 858 mother/baby dyads after 142 were excluded. Trend analysis demonstrated higher preconception BMI was significantly associated with progressively higher rates of cesarean section (p < 0.001), preeclampsia p < 0.001), gestational diabetes (p < 0.001), preterm birth (p = 0.001), lower 1- and 5 minutes Apgar scores (p < 0.001), and neonatal intensive care unit admission (p = 0.002). These associations remained significant in both simple univariable and multivariable logistic regression models. Conclusion We demonstrated obese women are more likely to have maternal complications and neonatal morbidity when compared with normal weight mothers. Maternal and fetal complications increase with increasing obesity with superobese mothers (BMI >= 50) having more perinatal adverse outcomes when compared with other classes of obesity. It is reasonable to counsel weight loss prior to conception of women with BMI more than or equal to 30 in an effort to reduce maternal complications and neonatal morbidity related to pregnancy. Key Points Maternal obesity is associated with adverse outcomes. Complications increase with increasing obesity. Superobese mothers have the most adverse outcomes.",10.1055/a-2107-1585,,American Journal of Perinatology,Academic Journal,research;tables/charts;Journal Article;,English,Addicott,cinahl
theroleofskintoskincontactandbreastfeedinginthefirsthourpostdeliveryinreducingexcessiveweightloss2024jurgelene,the role of skin-to-skin contact and breastfeeding in the first hour post delivery in reducing excessive weight loss,2024.0,"Jurgelene, Valentina;Kuzmickiene, Vilma;Stoniene, Dalia","Background and aims: An excessive weight loss (EWL) of >10% after birth is associated with serious health outcomes. The aim of this study was to determine factors that can reduce weight loss in full-term, exclusively breastfed infants after birth. Methods: This is a retrospective, observational, single-center study. We included 642 healthy, full-term, exclusively breastfed neonates born in 2019 in a baby-friendly hospital, and their healthy mothers. The exclusion criteria were as follows: supplementation with formula, multiple pregnancies, and neonates or mothers with health issues. Results: The mean percentage of neonatal weight loss after 24 h of life was 5.13%, and that after 48 h was 6.34%. Neonates delivered via a caesarean section lost more weight after 24 and 48 h of life than those delivered via vaginal delivery (p < 0.01). There is a noticeable pattern that neonates tend to lose more weight if they do not get skin-to-skin contact (SSC) and breastfeeding within the first hour after birth (p > 0.05). Conclusions: Neonates born via a CS tend to lose more weight after 24 and 48 h of life. Immediate SSC and breastfeeding in the first hour after delivery may decrease the excessive weight loss.",10.3390/children11020232,,Children,Academic Journal,research;tables/charts;Journal Article;,English,Jurgelene,cinahl
comparisonoflaparoscopicandhysteroscopicsurgicaltreatmentsforisthmoceleaprospectivecohort2024hosseini,comparison of laparoscopic and hysteroscopic surgical treatments for isthmocele: a prospective cohort,2024.0,"Hosseini, Reyhane;Parsaei, Mohammadamin;Ali-abad, Nahid, Rezaei;Daliri, Sepand;Asgari, Zahra;Valian, Zahra;Hajiloo, Nasrin;Mirzaei, Samira;Bakhshali-bakhtiari, Mina","Amac: Bu calismanin amaci semptomatik istmosel tedavisinde laparoskopik ve histeroskopik cerrahi yaklasimlarin klinik sonuclarini degerlendirmek ve iliskili faktorleri belirlemektir. Gerec ve Yontemler: Bu prospektif kohort calismasina transvajinal salin infuzyon sonohisterografi kullanilarak semptomatik istmosel tanisi konan 46 hasta dahil edildi. Hastalara reziduel miyometrial kalinlik ve dogurganlik isteklerine gore laparoskopik veya histeroskopik istmoplasti uygulandi ve ardindan hastalar klinik ve ultrasonografik muayenelerle takip edildi. Bulgular: Yirmi iki hastaya laparoskopi, yirmi dort hastaya ise histeroskopik cerrahi uygulandi. Baslangicta, iki grup arasinda ortalama yas ve son sezaryenden bu yana gecen yillar acisindan anlamli bir fark yoktu. Ancak histeroskopi grubunda ortalama parite ve onceki sezaryenlerin sayisi daha yuksekti (p=0,00, 0,03). En sik gorulen semptomlar anormal uterin kanama, kisirlik ve dismenore idi. Baslangictaki ortalama reziduel miyometrial kalinlik laparoskopi grubunda anlamli derecede yuksekti (p=0,00) ve yalnizca laparoskopik cerrahi hastalarda anlamli reziduel miyometrial kalinlik artisina yol acti (p=0,00). Her iki prosedur de anormal uterin kanamayi onemli olcude azaltti (p=0,00), ancak yalnizca laparoskopi kisirligi azaltti (p=0,00) ve histeroskopi dismenoreyi azaltti (p=0,03). Histeroskopi genc hastalarda semptomlarda daha fazla duzelme sagladi (p=0,01), yas ise laparoskopi sonuclarini etkilemedi. Sonuc: Her iki yaklasim da anormal uterin kanamanin cozumunde benzer etkinlik gostermistir; laparoskopi kisirligin cozumunde ve histeroskopi dismenorenin cozumunde ustundur.",10.4274/tjod.galenos.2024.54006,,Turkish Journal of Obstetrics & Gynecology,Academic Journal,research;tables/charts;Journal Article;,English,Hosseini,cinahl
cordbloodcellfreednaconcentrationanovelmarkerforneonatalwellbeing2024imterat,cord blood cell-free dna concentration: a novel marker for neonatal wellbeing,2024.0,"Imterat, Majdi;Erez, Offer;Tirosh, Dan;Gelkop, Yael, Miller;Benshalom-Tirosh, Neta;Ben-Tabo, Maor;Douvdevani, Amos","Objective Cord gas values and Apgar scores, currently used as markers for newborn wellbeing and postpartum complications, provide rough estimates, and their use remains elusive. Circulating cell-free DNA (cfDNA) may better represent newborn status at birth and the effect of parturition on the fetus. This pilot study investigates the association between cord blood (CB) cfDNA and neonatal outcomes. Study Design In a prospective cohort study, cfDNA concentration was measured in immediately following delivery collected CB sera of newborns using our rapid fluorescent assay. Results During the study period, blood samples from umbilical cords of 100 newborns were collected. Vaginal delivery was associated with a higher median CB cfDNA than cesarean delivery (277 [95% confidence interval [CI] 199-377] vs. 100 [95% CI 43-265] ng/mL, p < 0.01). cfDNA levels were significantly associated with gestational age at delivery (rho = 0.308, p = 0.002) and CB base deficit (BD, r = 0.252, p = 0.017). According to maternal and fetal complications, CB cfDNA was elevated in fetuses with category II of heart rate tracing (p < 0.05), with maternal positive vaginal culture (p < 0.01), and with premature rupture of membranes (PROM, p < 0.001). Logistic regression models of CB cfDNA fourth quartiles demostrate a double odds ratio for elevated BD (>3mmol/L) and for worse heart rate tracing category. Conclusion Serum CB cfDNA concentration reflects the newborn's status and hazards with an excellent association with CB BD, fetal heart rate category, and maternal risk factors for infection (positive vaginal culture and PROM). This preliminary observation suggests that cfDNA can serve as a point of care biomarker for newborn status at the time of delivery. Key Points CB cfDNA levels correlated with newborn's BD. CB cfDNA levels reflect parturition stress and inflammation. cfDNA serve as a diagnostic and prediction tool for the identification of newborns at risk for morbidity.",10.1055/a-1787-3838,,American Journal of Perinatology,Academic Journal,research;tables/charts;Journal Article;,English,Imterat,cinahl
raceethnicityandperceptionofcaredoespatientproviderconcordancematter2024adams,race/ethnicity and perception of care: does patient-provider concordance matter?,2024.0,"Adams, Constants;Francone, Nicolas;Chen, Liqi;Yee, Lynn, M.;Horvath, Madeleine;Premkumar, Ashish","Objective We determine whether racial concordance between postpartum patients and obstetric providers (dyads) impacts the perception of quality of care among people undergoing intrapartum obstetrical procedures. Study Design This is a prospective cohort study of postpartum people who underwent operative vaginal or cesarean deliveries in the second stage of labor. Participants were asked to identify the race of their primary provider and complete the Interpersonal Processes of Care (IPC) survey, which assesses communication, patient-centered decision-making, and interpersonal style. The association of participant-identified patient-provider racial concordance with IPC scores was determined. The primary outcome was the IPC subdomain related to discrimination, and secondary outcomes included other IPC subdomains and IPC results by participant racial identity (Black, LatinX vs. White). Sociodemographic and biomedical data were extracted from the medical record. Bivariable analyses were performed. Results Of 168 patients who were approached, 107 (63.6%) agreed to participate and 87 (81.3%) completed the survey. The majority (n =49) identified a racially discordant provider. Participants in racially concordant dyads were more likely to be older, White, use English as a primary language, complete a higher degree of education, and have a higher household income when compared with racially discordant dyads. Intrapartum outcomes were not significantly different between groups. Median IPC subtest scores were not significantly different between groups or between racial/ethnic identities. Conclusion There were no significant differences in perceptions of IPC between racially concordant versus discordant dyads. However, there is an ongoing need to further clarify measures of quality of care in high-acuity obstetrical situations to remediate ongoing racial and ethnic disparities in adverse health outcomes. Key Points Racial concordance between patient and clinician has been associated with improved quality of care. There are limited data on racial concordance and perceptions of operative obstetrical care (e.g., operative vaginal delivery). Racial concordance was not associated with differences in patient-perceived quality of care associated with operative obstetrics.",10.1055/s-0042-1755548,,American Journal of Perinatology,Academic Journal,research;tables/charts;Journal Article;,English,Adams,cinahl
associationofmenstrualbloodvolumeandreproductiveoutcomesinpatientswithcaesareanscarpregnancymanagedusinguterinearteryembolizationandcurettage2023cao,association of menstrual blood volume and reproductive outcomes in patients with caesarean scar pregnancy managed using uterine artery embolization and curettage,2023.0,"Cao, Guangshao;Liu, Ruiqing;Liu, Jianwen;Liu, Jian;Liu, Yuyan;Li, Lupeng;Zhao, Xiaoyang;Li, Hui;Cao, Huicun","This study aimed to assess the association of menstrual blood volumes (MBV) and reproductive outcomes in patients after uterine artery embolization (UAE) combined with curettage for caesarean scar pregnancy (CSP). This retrospective observational study enrolled women who underwent UAE plus curettage for CSP at the Interventional Department of Henan Provincial People's Hospital between December 2012 and December 2017. The primary outcome was pregnancy rate and the secondary outcomes were live birth rate (LBR) and interpregnancy interval. This study finally included 37 women (16 women with normal MBV and 21 women with decreased MBV) with pregnancy intention after UAE plus curettage for CSP. The pregnancy rate in women with normal MBV was higher than those with decreased MBV (81.3% vs. 47.6%; P = 0.048). There were no differences between the two groups regarding the interpregnancy interval (18.4 +- 8.7 vs. 22.2 +- 10.0 months, P = 0.233), and LBR (63% vs. 38%, P = 0.191). In conclusion, Women with normal MBV after UAE combined with curettage for CSP management might have a higher pregnancy rate compared with patients with decreased MBV, but there were no differences in LBR between the two groups.",10.1080/14647273.2023.2207746,,Human Fertility,Academic Journal,research;tables/charts;Journal Article;,English,Cao,cinahl
